lexeme.id,lexeme.entrada,lexeme.sinal,lexeme.lematizacao,lexeme.desambiguacao,lexeme.sinonimos,lexeme.exemplo_uso,lexeme.glosa,lexeme.video_sinal,lexeme.video_exemplo,lexeme.link_sinal,lexeme.link_exemplo,lexeme.status,lexeme.observacao,lexeme.is_active,lexeme.created_on,lexeme.created_by,lexeme.modified_on,lexeme.modified_by
46,,AFOGAR.1,,,,MEU FILHO FOI NA PRAIA E SE AFOGOU NO MAR,HOJE MEU FILHO FOI PRAIA ACONTECER O_QUE AFOGAR.1 MAR,,,https://drive.google.com/file/d/10xbcFjlXC5u3_9UmC6wN0wh4S4bRVY7_/view?usp=share_link,https://drive.google.com/file/d/10gpqLL_m_bajKIC5N_UTR4fBhbWMhSuc/view?usp=share_link,OK,,,,,,
47,,AFOGAR.2,,,,"EU PULEI NA ÁGUA E ME AFOGUEI, TENTEI NADAR MAS NÃO CONSEGUI",EU CL:PULAR ACONTECER AFOGAR.2 EU NÃO_CONSEGUIR NADAR CL:SUBIR,,,https://drive.google.com/file/d/10xK0mqkxfitgFRgA-vw_-KsyWg2P777Z/view?usp=share_link,https://drive.google.com/file/d/10W8Cj6pQJrrmG2pBVT_3ZsXUXR0WLak6/view?usp=share_link,OK,,,,,,
48,,ÁFRICA,,,,EU QUERO VIAJAR E CONHECER O CONTINENTE AFRICANO,EU QUERER CONHECER IR ÁFRICA ,,,https://drive.google.com/file/d/10RKa2OECUVnuBKCCdSj1jQwu2Qk2tqPg/view?usp=share_link,https://drive.google.com/file/d/10BL0obXvw6Dl-2Y4tawscXVXZi4CvWj0/view?usp=share_link,OK,,,,,,
49,,AGITAD@,,,,"EU TRABALHO REMOTO, MINHAS DUAS FILHAS FICAM AGITADAS E NÃO PARAM DE ANDAR",EU TRABALHAR REMOTO MEU FILH@ DUAS PESSOAS AGITAR CL:ANDAR,,,https://drive.google.com/file/d/101ZR-Q14k2lB7o1-nJL4jcWh1huOM3PD/view?usp=share_link,https://drive.google.com/file/d/1-xTkyapC0S5tn9cplgNu7AKJcND3VUea/view?usp=share_link,OK,,,,,,
50,,AGORA,,,,VAMOS PRA CASA AGORA,VAMOS EMBORA CASA AGORA,,,https://drive.google.com/file/d/1-i9Wts6d4tINAQgjr5dCS2xI2smPW4dd/view?usp=share_link,https://drive.google.com/file/d/1-fEazX0qNko8tQ-L7ypQIrwrW-oZpVBw/view?usp=share_link,OK,,,,,,
51,,agosto.1,,,,EU PRECISO COMPRAR UM PRESENTE PARA MEU PAI NO MÊS DE AGOSTO,EU PRECISAR COMPRAR PRESENTE DAR MEU PAI MÊS AGOSTO.1,,,https://drive.google.com/file/d/1-d4a6vxzWEccz8bQQc3o-lQZRVFAGWkF/view?usp=share_link,https://drive.google.com/file/d/1-bWiZeD9xyVuP9PaDXvvN6zidOq_pTX9/view?usp=share_link,OK,,,,,,
52,,agosto.2,,,,VAI FAZER 20 ANOS DE CASADO DOS MEUS PAIS EM AGOSTO,MÊS AGOSTO.2 MEU PAI MÃE 20 ANOS CASAD@,,,https://drive.google.com/file/d/1-c6YS3E48XPpIrAve5XHrQz5tFt3lVnI/view?usp=share_link,https://drive.google.com/file/d/1-H8bkGq-6veAgMLrRmCPF1cBY0wo_s2Y/view?usp=share_link,OK,,,,,,
53,,AJUDAR.1,,,,EU PRECISO AJUDAR MEU COLEGA DE TRABALHO,EU PRECISAR AJUDAR.1 MEU COLEGA EL@ TRABALHO,,,https://drive.google.com/file/d/1-GvUbk_exyfW-AwlvJX2ouPlPpjNUA5l/view?usp=share_link,https://drive.google.com/file/d/1-6akILh5VIjDY720987z0UecMkhyQTEt/view?usp=share_link,OK,,,,,,
54,,AJUDAR.2,,,,ELE PRECISA AJUDAR COM MEU IRMÃO DE LIMPAR A CASA,EL@ PRECISAR AJUDAR.2 MEU IRMÃO LIMPAR CASA ALI,,,https://drive.google.com/file/d/1-CRXulvDTFjubitHNWU5T1zJ1U3mD_Uf/view?usp=share_link,https://drive.google.com/file/d/18mpZ8O7CBRiZqUrMWLYxFTAxs_1txbsk/view?usp=share_link,OK,,,,,,
55,,AJUDAR.3,,,,HOJE EU AJUDEI A LIMPAR ALI,HOJE EU AJUDAR.3 LIMPAR ALI,,,https://drive.google.com/file/d/1-CL3NS0iMMBJ4Q0N_E2Ij3-3lmLLWPCB/view?usp=share_link,https://drive.google.com/file/d/1zvm21HvfB-LYnYm5FiATXZRQt9qKMbUA/view?usp=share_link,OK,,,,,,
56,,AJUDAR.4,,,,"ESSA CASA FOI DESMORONADA, VAMOS FAZER DOAÇÃO DE DINHEIRO PARA AJUDAR",ESS@ CASA DESMORONAR VOCÊS AJUDAR.4 DOAR DINHEIRO,,,https://drive.google.com/file/d/1-7HZVIJUBJ48Ew0HbU5RgUs5wU8MVVv0/view?usp=share_link,https://drive.google.com/file/d/1zy3FoQ0x52_4SsPAfEGuV1-eHMVaM36B/view?usp=share_link,OK,,,,,,
57,,AJUDAR-ME,,,,VOCÊ PODE ME AJUDAR POR FAVOR,VOCÊ PODE AJUDAR-ME POR_FAVOR,,,https://drive.google.com/file/d/1-F3C75DYsAdkl9QNDquyORx32KH-462e/view?usp=share_link,https://drive.google.com/file/d/1-1L8gTRof6djoT5zrUsBaRrLibkO8SqJ/view?usp=share_link,OK,,,,,,
58,,ALEGRAR.1,,,,HOJE O DIA ESTÁ ENSOLARADO E ALEGRE,HOJE VER DIA SOL ALEGRAR.1,,,https://drive.google.com/file/d/1zamD7aAZImAlOoY7oMcEAHt_Ln3kd1u6/view?usp=share_link,https://drive.google.com/file/d/1z_RIYz1tlWIHKh8JZSTYRffL7c24E5lM/view?usp=share_link,OK,,,,,,
59,,ALEGRAR.2,,,,CRIANÇAS FICAM ALEGRES QUANDO VÃO AO PARQUE,PARQUE CRIANÇAS ALEGRAR.2,,,https://drive.google.com/file/d/1zaXwrvYvOLMDQ6w7VPrXyu4q8ZYGBVXi/view?usp=share_link,https://drive.google.com/file/d/1zRcPUQgOhnPVbZzAIXrbIh67ofAc_I6r/view?usp=share_link,OK,,,,,,
60,,ALEMANHA.1,,,,MINHA FAMÍLIA É DESCENDENTE DE ALEMANHA,MINHA FAMÍLIA GERAÇÃO ALEMANHA.1,,,https://drive.google.com/file/d/1zGqGgsF4AhY0rMdN64Uxn6Uo9DTCcniU/view?usp=share_link,https://drive.google.com/file/d/1zFXOm1CeTcpfOFgilVh31dIxLtK-t84K/view?usp=share_link,OK,,,,,,
61,,ALEMANHA.2,,,,MINHA VÓ ESTÁ NA ALEMANHA,MINHA AVÓ FICAR ALEMANHA.2,,,https://drive.google.com/file/d/1zGmxukUoY9dfyphCC7v9SgSyQXeSZ-Cj/view?usp=share_link,https://drive.google.com/file/d/1z3sUScizPevvut-PIECEHHPK1OujWIPB/view?usp=share_link,OK,,,,,,
62,,ALFABETO,,,,PROFESSOR@ ENSINA O ALFABETO PARA CRIANÇAS NA ESCOLA,ESS@ ESCOLA PROFESSOR@ ENSINAR ALFABETO CRIANÇAS ,,,https://drive.google.com/file/d/1z0XoCSxzNNOx76dHo9EuZLY9fEMuK2tv/view?usp=share_link,https://drive.google.com/file/d/1yuA0gi84s2vT8zxYQPMQuNOWmOHvaifW/view?usp=share_link,OK,,,,,,
63,,ALGUÉM,,,,ALGUÉM TEM UMA CANETA PRA EMPRESTAR?,ALGUÉM TER CANETA EMPRESTAR?,,,https://drive.google.com/file/d/1yruUgf47mb4LwAN3xO7tAPL9Ub5JImvl/view?usp=share_link,https://drive.google.com/file/d/1yn8GNqkqnZbMyuq3SjSMxxC8xp8twjeq/view?usp=share_link,OK,,,,,,
64,,ALGUM,,,,,,,,GRAVAR,GRAVAR,H I ,"OBS: ESSA PALAVRA NÃO TEM SINAL PRÓPRIO, SÓ EM CONTEXTOS",,,,,
65,,ALGUNS,,,,ALGUNS TEM CARROS E OUTROS NÃO TEM CARROS,ALGUNS TER CARRO ALGUNS NÃO_TER CARRO,,,https://drive.google.com/file/d/1ylQd9UXxlFMcqqDDLaBZD0uayrxiOtWL/view?usp=share_link,https://drive.google.com/file/d/1yfq7u6e-I2rMQ060MF1Pr__pQeOXRkA-/view?usp=share_link,OK,,,,,,
66,,ALIMENTAR,,,,HOJE EU ALIMENTEI SAÚDAVEL,HOJE EU ALIMENTAR SAÚDE,,,https://drive.google.com/file/d/1ydcFRNvvP57Ukibobb0q_uQ8Udn_QOvr/view?usp=share_link,https://drive.google.com/file/d/1yW3Rv8us4ZYQ2KkWK4eIjNe64dE66iM1/view?usp=share_link,OK,,,,,,
67,,COMIDA,,,,,RESTAURANTE LÁ TER VÁRI@S PODER ESCOLHER COMIDA,,,https://drive.google.com/file/d/1ydcFRNvvP57Ukibobb0q_uQ8Udn_QOvr/view?usp=share_link,https://drive.google.com/file/d/1P7qUhXDWWNx8iCvEipnx8SKUJ6CbDw_O/view?usp=share_link,OK,,,,,,
68,,COMER.1,,,,EU ESTOU CHEIO POIS COMI COM O PRATO CHEIO HOJE NO ALMOÇO,HOJE ALMOÇO EU COMER.1 CL:PRATO_CHEIO EU CHEIO,,,https://drive.google.com/file/d/11fzcdaY5plWEvpMK8L5nWpk4DlbwcSP5/view?usp=share_link,https://drive.google.com/file/d/1SEkOXaF2k5DXf6b-Tam-aarDcpkG3q7h/view?usp=share_link,OK,,,,,,
69,,COMER.2,,,,ONTEM EU EXAGEREI DE COMER,ONTEM EU COMER.2 EXAGERAR,,,https://drive.google.com/file/d/1yZxICy36J9jQ5vkduLWZ6s1yofRCefVb/view?usp=share_link,https://drive.google.com/file/d/1ya4r8hJ7XVCFB3vMMDmK6DCKch6H8LyR/view?usp=share_link,OK,,,,,,
70,,ALIVIAR.1,,,,EU ESTOU ALIVIAD@ PORQUE O TESTE DO COVID DEU NEGATIVO,EU ALIVIAR.1 CL:TESTE_NARIZ COVID NEGATIV@,,,https://drive.google.com/file/d/1yVpjU0EQDDKLnK08N9fi-ouYLMP-ze3s/view?usp=share_link,https://drive.google.com/file/d/1yOn6zNaGJBTmut9MTy_TK-sVb21xR6zL/view?usp=share_link,OK,,,,,,
71,,ALIVIAR.2,,,,"EU QUASE PERDI MEU CELULAR, AINDA BEM QUE ENCONTREI, QUE ALIVIO",EU QUASE PERDER CELULAR EU ENCONTRAR ALIVIAR.2,,,https://drive.google.com/file/d/1ySaffV2j87ksL1tZHBDzZDLWCF_xSkMU/view?usp=share_link,https://drive.google.com/file/d/1yNPEFxcv1UIrQs3GUuGaMkZnej5Vcqul/view?usp=share_link,OK,,,,,,
72,,ALMOÇAR.1,,,,JÁ ESTÁ NA HORA DE IR ALMOÇAR NO RESTAURANTE,JÁ HORA EU IR ALMOÇAR.1 RESTAURANTE,,,https://drive.google.com/file/d/1yLrD1CuKHxe59w_i7xSxNVxz0ycfb7z1/view?usp=share_link,https://drive.google.com/file/d/1yAvjwVZkABcPmhw8yjAVPoD5qScgjRYj/view?usp=share_link,OK,,,,,,
73,,ALMOÇAR.2,,,,VOU FAZER ALMOÇO AGORA,AGORA EU IR COZINHAR ALMOÇAR.2,,,https://drive.google.com/file/d/1yJIgq-mZRfqjLvhbMehG9-VfKkAjThYA/view?usp=share_link,https://drive.google.com/file/d/1y0ktNNALgWuiJb9rOR3fbNUsuGZ8lAZ-/view?usp=share_link,OK,,,,,,
74,,ALTO.1,,,,MEU MARIDO É ALTO,MEU MARIDO ALT@.1,,,https://drive.google.com/file/d/1xwROHSpxQEzj9TvC2_rhO5tIZ74EOvRf/view?usp=share_link,https://drive.google.com/file/d/1xh6oWmWCF-Yux7XXnVZGrACiaWcYH-Cx/view?usp=share_link,OK,,,,,,
75,,ALTO.2,,,,EU VI UMA ÁRVORE ALTA,EU VI ÁRVORE ALT@.2,,,https://drive.google.com/file/d/1xle8RA_-iBT0TCH1BzBEBA0rNbSh69dE/view?usp=share_link,https://drive.google.com/file/d/1xfz5fS2B2CDiY1xwWZgl7lCP06vAMAPe/view?usp=share_link,OK,,,,,,
76,,ALTERAR.1,,,,HOJE OS GRUPOS FORAM ALTERADOS,HOJE GRUPOS ALTERAR.1,,,https://drive.google.com/file/d/1xcmCeR8uaXPWOgWDg2KWBTbU67jj9bVW/view?usp=share_link,https://drive.google.com/file/d/1xSedKdEgl5dL545Tp3S7pZf9_6_X0rgG/view?usp=share_link,OK,,,,,,
77,,ALTERAR.2,,,,TRANSGÊNERO ALTEROU NOME DEL@,TRANSGÊNERO ALTERAR.2 NOME,,,https://drive.google.com/file/d/1x_DUNeIxxVoAFD4rl2DA_joBqhgexBZy/view?usp=share_link,https://drive.google.com/file/d/1xR_a-kKRdumCePEO088e0n42kR9tV5-9/view?usp=share_link,OK,,,,,,
78,,ALTERAR.3,,,,EU VOU ALTERAR MEU CARRO,EU ALTERAR.3 CARRO,,,https://drive.google.com/file/d/1xTmmhZ_jOzF-eZqchoIHK6SkHeZskODq/view?usp=share_link,https://drive.google.com/file/d/1xQKBWuWdMwteR1A9wOYriS33Z8Sn-oQI/view?usp=share_link,OK,,,,,,
79,,ALUN@.1,,,,UM@ ALUN@ FALTOU HOJE,HOJE ALUN@.1 FALTAR,,,https://drive.google.com/file/d/1xPL9DCcPHu-OJxzlR0_Hc6pOlQYfatSU/view?usp=share_link,https://drive.google.com/file/d/1xKiXX3RmtLPnwuhxYYIoVepeRZK8RK2x/view?usp=share_link,OK,,,,,,
