lexeme.id,lexeme.entrada,lexeme.sinal,lexeme.lematizacao,lexeme.desambiguacao,lexeme.sinonimos,lexeme.exemplo_uso,lexeme.glosa,lexeme.video_sinal,lexeme.video_exemplo,lexeme.link_sinal,lexeme.link_exemplo,lexeme.status,lexeme.observacao,lexeme.is_active,lexeme.created_on,lexeme.created_by,lexeme.modified_on,lexeme.modified_by
90,,AMÉRICA_DO_NORTE,,,,TEM MUITA GENTE QUE FOGEM PARA AMÉRICA DO NORTE,TER MUITOS FUGIR LÁ AMÉRICA_DO_NORTE,,,https://drive.google.com/file/d/1w_wKJ63rKx3tphdkbQ2tC0nrl2WhRisj/view?usp=share_link,https://drive.google.com/file/d/1wXKQvio2SFU8gUhxjVCjv4R91ohaeZIW/view?usp=share_link,OK,,,,,,
91,,AMERICA LATINA,,,,A AMÉRICA LATINA TEM CULTURAS DIVERSAS,AMÉRICA_LATINA TER DIVERS@S CULTURA,,,https://drive.google.com/file/d/1wVJ24r8HstreHlHAOTwI6QODsA2yxYRf/view?usp=share_link,https://drive.google.com/file/d/1wVAtlC4SXkB6-j24sH6-5xqMnYQHs30s/view?usp=share_link,OK,,,,,,
92,,AMIG@,,,,MEU AMIGO PEGOU COVID NA SEMANA PASSADA,MEU AMIG@ PEGAR COVID SEMANA PASSAD@,,,https://drive.google.com/file/d/1wRKiw3ql1TuPpYk4uZVc9i3ofngeRjDM/view?usp=share_link,https://drive.google.com/file/d/1wPny6psP5iO2wUQBBZJ0j8fw9N14XKJy/view?usp=share_link,OK,,,,,,
93,,AMOR,,,,EU FIZ UMA CARTA DE AMOR E DEI PARA MINHA AVÓ,EU FAZER CARTA AMOR DAR MINHA AVÓ,,,https://drive.google.com/file/d/1wOxwgMTcwBuq-vZhKhk5WgEYAGTt4cXg/view?usp=share_link,https://drive.google.com/file/d/1wNhPr7KCw0a817TeBmeVjRr6vGhsi8gY/view?usp=share_link,OK,,,,,,
94,,AMPLIAR.1,,,,A FACULDADE ESTÁ AMPLIANDO CURSO COM ACESSIBILIDADE PARA PESSOAS SURDAS,FACULDADE AMPLIAR.1 CURSO ACESSIBILIDADE PESSOAS SURD@,,,https://drive.google.com/file/d/1wLI5orAdZgoDI9pOHXyxd-xpDGvLB98G/view?usp=share_link,https://drive.google.com/file/d/1wB2k-TPra4xMMmQ44w19qpP0IHoKrBtL/view?usp=share_link,OK,,,,,,
95,,AMPLIAR.2,,,,A EMPRESA ESTÁ AMPLIANDO AS VAGAS,EMPRESA AMPLIAR.2 VAGA,,,https://drive.google.com/file/d/1wAWJ6I4KoipGQuhi5uaG9QKH1DAM7_5L/view?usp=share_link,https://drive.google.com/file/d/1w0uBDfFQPuVACK91Qv0QFKIdaHAiGr_k/view?usp=share_link,OK,,,,,,
96,,ANDAR.1,,,,EU ESTAVA ANDANDO E LEVEI UM SUSTO QUANDO DOIS CARROS SE BATERAM,EU ANDAR.1 SUSTO CARROS CL:BATER,,,https://drive.google.com/file/d/1vqLB9mW4pjiaTPQRJYGpN6aFg--4FOnt/view?usp=share_link,https://drive.google.com/file/d/1vfyFyI_Xv_z-5fXHF_NOxw7rxaesB10f/view?usp=share_link,OK,,,,,,
97,,ANDAR.2,,,,ESTOU ANDANDO COM PRESSA POIS ESTOU ATRASAD@ AO TRABALHO,EU ANDAR.2 PORQUE EU ATRASAR TRABALHO,,,https://drive.google.com/file/d/1vnahMDd-4E71hOgdHGK64Cgx5vuU0Fee/view?usp=share_link,https://drive.google.com/file/d/1veWD-bhva7qt1RNImkAoDXd-u17WBdeg/view?usp=share_link,OK,,,,,,
98,,ANDAR_ANIMAL.1,,,,HOJE EU ESTAVA PASSEANDO NO ZOOLOGICO E ASSUSTEI QUANDO VI UM MACACO ANDANDO,HOJE EU PASSEAR ZOOLOGICO EU SUSTO VER MACAC@ ANDAR_ANIMAL.1,,,https://drive.google.com/file/d/1vb50HRp_0SHWaQQPPR9zR-Xi7plGmPgs/view?usp=share_link,https://drive.google.com/file/d/1vKAyFK4CR0rVKLXLCWbkOhjSnULarhhX/view?usp=share_link,OK,,,,,,
99,,ANDAR_ANIMAL.2,,,,EU VI UM PATO LINDO ANDANDO,EU VI LIND@ PAT@ ANDAR_ANIMAL.2,,,https://drive.google.com/file/d/1vYFRurEV6EBWwJfUXHOnabL6jP4JjOdl/view?usp=share_link,https://drive.google.com/file/d/1vJp9bWq6TtDms1wYm0m8EtEz5a36RBus/view?usp=share_link,OK,,,,,,
100,,ANIMAL.1,,,,NA MINHA CASA TEM DIVERSOS ANIMAIS,MINHA CASA DIVERS@S ANIMAL.1,,,https://drive.google.com/file/d/1vJ4aSxYFZdYr-DnIBsHskujDPWR7ZEwI/view?usp=share_link,https://drive.google.com/file/d/1vEl8k_C6gJNlJgHAlmUrgEYiQX9lQ94G/view?usp=share_link,OK,,,,,,
101,,ANIMAL.2,,,,TEM DIVERSOS ANIMAIS NA AMAZONIA,AMAZONIA DIVERS@S ANIMAL.2,,,https://drive.google.com/file/d/1vHxet1Fz2XDbAp1-xQn6Mf4G0zNtNmdF/view?usp=share_link,https://drive.google.com/file/d/1v9E52jEmUq0UCN1v0wJgm6t8XaMWYWEP/view?usp=share_link,OK,,,,,,
102,,ANIMAL.3,,,,MEU MARIDO ADORA ANIMAIS,MEU MARIDO ADORAR ANIMAL,,,https://drive.google.com/file/d/1vEynvveQwV9-GMnseWECEWXMuvmEHBHn/view?usp=share_link,https://drive.google.com/file/d/1v93ZbeTWXDysMYoppK6hdqaJ8s-v3qqa/view?usp=share_link,OK,,,,,,
103,,ANIMAR,,,,O AVÔ CONVIDOU A NETA DELE PARA IR AO CIRCO COM ELE E A NETA FICOU ANIMADA,AVÔ CONVIDAR NETA DEL@ VAMOS CIRCO PALHAÇO NET@ DEL@ ANIMAR IR CIRCO,,,https://drive.google.com/file/d/1yHHlMaao4XNPs6VH2GGOu1nwgiDZVxjc/view?usp=share_link,https://drive.google.com/file/d/1w1OvTwjqSZxyNci83IKCnnnB5myLHsEQ/view?usp=share_link,OK,,,,,,
104,,ANIVERSÁRIO,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
105,,ANJO.1,,,,ESSE BEBÊ LINDO PARECE UM ANJO,ESS@ BEBÊ LIND@ PARECER ANJO.1,,,https://drive.google.com/file/d/1aZayHlDMNu_XpLDFXpifDh2jtyhuYt-J/view?usp=share_link,https://drive.google.com/file/d/1XVEurenlom9YhUW1cDbg-l1Usl98XTvO/view?usp=share_link,OK,,,,,,
106,,ANJO.2,,,,ESSE MENINO PARECE UM ANJO MAS NÃO É,ESS@ MENINO PESSOA PARECER ANJO.2 NÃO VERDADE MENTIRA,,,https://drive.google.com/file/d/16tmvTSKyCbiYHTIdBsWWTlj0tTmDRBEj/view?usp=share_link,https://drive.google.com/file/d/12LfNm8ad6-_g7hi5xOCjgC9q4FBPQQ_j/view?usp=share_link,OK,,,,,,
107,,ANO.1,,,,EM QUE ANO EU NASCI? EM 1987,ANO.1 EU NASCER? 1987,,,https://drive.google.com/file/d/1CSuzvh8W7_O_ZTvnbCMI-vxM4Ag86_RG/view?usp=share_link,https://drive.google.com/file/d/1t1GbdwfM-ldNgzxAJwk3WG4N6vzRbOiG/view?usp=share_link,OK,,,,,,
108,,ANO.2,,,,ESSE CARRO É NO ANO 1999,ESS@ CARRO ANO.2 1999,,,https://drive.google.com/file/d/1g2V6C77UoNVlAzC2SvdboVjqyCFwDabZ/view?usp=share_link,https://drive.google.com/file/d/1fyzRYIPj8MMnjuk_doBmTerFt-W0gv7r/view?usp=share_link,OK,,,,,,
109,,ANOS_MUITOS,,,,ESSE CASAL ESTÃO JUNTOS À MUITOS ANOS,DOIS CASAL ANOS_MUITOS,,,https://drive.google.com/file/d/1VfpKZSs1lToNYFbsl0aB-Y1XAfL8187o/view?usp=share_link,https://drive.google.com/file/d/1u9Ynl4YUE4L4uGVUnGDsT82lOmy3BZ52/view?usp=share_link,OK,,,,,,
110,,ANO_PASSADO,,,,MINHA MÃE MORAVA NO RURAL E SE MUDOU PARA CIDADE NO ANO PASSADO,ANO_PASSADO MINHA MÃE MORAR RURAL MUDAR CIDADE,,,https://drive.google.com/file/d/1TAnoiLUFi-RYauDJ1BLL2uGTB4Akhhcc/view?usp=share_link,https://drive.google.com/file/d/11zZmA5TUGOf862u5IZiZHbjzgeNmPwKy/view?usp=share_link,OK,,,,,,
111,,ANOTAR,,,,EU PEDI UM FAVOR DE ANOTAR SEU NÚMERO DE TELEFONE,EU PEDIR POR_FAVOR ANOTAR SEU NÚMERO TELEFONE,,,https://drive.google.com/file/d/1lP2A-oXEzbFzCME5_I2pju2qlK2IvwhU/view?usp=share_link,https://drive.google.com/file/d/1KWQ3Nhq9ctOcUi3FlKEEYTPmsFTqQgnW/view?usp=share_link,OK,,,,,,
112,,ANTES.1,,,,"EU JÁ ESTOU INDO, MAS ANTES VOU AO BANHEIRO PRIMEIRO",EU IR ESPERAR POUCO ANTES.1 EU IR BANHEIRO,,,https://drive.google.com/file/d/18Qpl_I98YDCJkzBXnmaTLeyKRTooWLx4/view?usp=share_link,https://drive.google.com/file/d/1wThqrC4PNtoZeLQoNjNHxsJ-mLyrz1O6/view?usp=share_link,OK,,,,,,
113,,ANTES.2,,,,ANTES O MEU CARRO ERA VERMELHO E AGORA É PRETO,ANTES.2 MEU CARRO VERMELHO AGORA PRETO,,,https://drive.google.com/file/d/17BvRMA5l0930FhU9cuNTknxIKlgDY42M/view?usp=share_link,https://drive.google.com/file/d/1lRmMy86o6ggQ3PzQtedlhIUNSCZpP2nL/view?usp=share_link,OK,,,,,,
114,,ANTIGO.1,,,,A CIDADE DE PELOTAS É ANTIGA,CIDADE PELOTAS ANTIG@.1,,,https://drive.google.com/file/d/1u-55btI4b4DGz8NvfzmWOyX58Wqyh1A3/view?usp=share_link,https://drive.google.com/file/d/157PBhiaYMNHUe_FQBWz350YKFtyn16ij/view?usp=share_link,OK,,,,,,
115,,ANTIGO.2,,,,ESSA CASA COR DE CINZA É ANTIGA,ESS@ CASA COR CINZA ANTIG@.2,,,https://drive.google.com/file/d/1-MR6Y0_dl6IuRjZ65Me_yI7eVY3wpO4o/view?usp=share_link,https://drive.google.com/file/d/1JYNpy4GwzrxaHfS8w5gBIhy782VcFLCb/view?usp=share_link,OK,,,,,,
116,,ANUNCIAR,,,,,,,,GRAVAR,GRAVAR,H I,,,,,,
117,,APARECER,,,,MEU GATO TINHA SUMIDO E AGORA ELE APARECEU,MEU GAT@ SUMIR UM@ MÊS AGORA APARECER,,,https://drive.google.com/file/d/1UNs8nYogQhOoBgiSs2-vZGFq8Ak-OHQt/view?usp=share_link,https://drive.google.com/file/d/1mvgWw_nXzQbBCaBP2KlbBEv3M-pFJndA/view?usp=share_link,OK,,,,,,
118,,APARECER_NEUTRO,,,,FAZIA TEMPO QUE NÃO VIA MEU AMIGO E HOJE ELE APARECEU NA MINHA CASA,MEU AMIG@ VER_NÃO MUITO_TEMPO APARECER_NEUTRO MINHA CASA,,,https://drive.google.com/file/d/1zgRyTEf3EcAvq_fHdwFoSdnmw0PF-V4m/view?usp=share_link,https://drive.google.com/file/d/1pjEqKH6nZNJ_MaSoXSmhNo41r2wZDPYR/view?usp=share_link,OK,,,,,,
119,,APARENTAR.1,,,,SEU VESTIDO APARENTA UM VESTIDO MEU QUE ESTÁ NA MINHA CASA,SEU VESTIDO APARENTAR.1 EU TER VESTIDO LÁ CASA,,,https://drive.google.com/file/d/1gpeETsf5VlRN0YcLs493ACOjgKDaPZAE/view?usp=share_link,https://drive.google.com/file/d/1U_SbQ-SZ8fKG31kJkn0eaoowyYlKr54u/view?usp=share_link,OK,,,,,,
120,,APARENTAR.2,,,,"DOIS MENINOS PEQUENOS QUE SÃO PRIMOS, ELES SE APARENTAM",DOIS MENINOS PEQUEN@S EL@S PRIM@S ROSTO APARENTAR.2,,,https://drive.google.com/file/d/15zzda3DYwhSJGb4bQR5icslSRqIeEABM/view?usp=share_link,https://drive.google.com/file/d/1CR2d9UQLi4rXe9Zh0j30oNAzgWcyxAj3/view?usp=share_link,OK,,,,,,
121,,APAVORAR,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
122,,APOIAR.1,,,,"QUANDO TINHA MANIFESTAÇÃO DOS INTERPRETES, EU APOIEI",MOMENTO INTERPRETE MANIFESTAR EU APOIAR.1,,,https://drive.google.com/file/d/1g95s3G7bRYUqak1-1p2cdLHERyIRpzqz/view?usp=share_link,https://drive.google.com/file/d/1cZt90H1snhMTBse15dyF-phwOUuj1OB5/view?usp=share_link,OK,,,,,,
123,,APOIAR.2,,,,EU APOIO O MOVIMENTO DE DIREITO DAS MULHERES,EU APOIAR.2 MOVIMENTO DIREITO MULHER,,,https://drive.google.com/file/d/1uFVEMU-tk9tx9b2ETf5si2EbTjtBXvMh/view?usp=share_link,https://drive.google.com/file/d/1xxjVcpBpz4qXVkDIyg_GAHvdDtrTs1Ys/view?usp=share_link,OK,,,,,,
124,,APOIAR-ME,,,,EU ESTOU DOENTE E MEU MARIDO ESTÁ ME APOIANDO,EU DOENTE MEU MARIDO APOIAR-ME,,,https://drive.google.com/file/d/1Q_MOwZGU7I3TrGrNjuZge2lG3eezKTtJ/view?usp=share_link,https://drive.google.com/file/d/1ENi41IThoEAf1LZbS32r7pmE56--RQJh/view?usp=share_link,OK,,,,,,
125,,APRENDER,,,,EU VIM NO CURSO DE LIBRAS PARA APRENDER,EU VIR APRENDER CURSO LIBRAS,,,https://drive.google.com/file/d/1G2kvTSb9v5TT6_4lV_wRFaJXuQ65TLRc/view?usp=share_link,https://drive.google.com/file/d/1jFSECXgmhO8hvJNYYClmjOE1PlQ7yV7w/view?usp=share_link,OK,,,,,,
126,,APRESENTAR,,,,EU PRECISO PREPARAR A APRESENTAÇÃO DA DISCIPLINA DE PSICOLOGIA,PRECISAR PREPARAR APRESENTAR DISCIPLINA PSICOLOGIA,,,https://drive.google.com/file/d/1LuEEgzh-RRLtj-5JIYf737l-xjqukKJ-/view?usp=share_link,https://drive.google.com/file/d/1QBhYKjDC3yVNbWxT8CEYq25XY4AD64Ug/view?usp=share_link,OK,,,,,,
127,,APRESENTAR-ME,,,,O ALUNO ME APRESENTOU UM TRABALHO MARAVILHOSO,ALUN@ APRESENTAR-ME TRABALHO MARAVILHOS@,,,https://drive.google.com/file/d/1nP5xK9MeJObVKctv_mjru_mlcv-u-jMJ/view?usp=share_link,https://drive.google.com/file/d/1X87J5jsqx9G62pyzWzk7n_ZH3Du_BPd3/view?usp=share_link,OK,,,,,,
128,,APRESENTAR-VOS,,,,VAI TER APRESENTAÇÃO DE TEATRO NA ASSOCIAÇÃO,ASSOCIAÇÃO TER APRESENTAR-VOS TEATRO,,,https://drive.google.com/file/d/1DJfcuA4OA_LnV5Qxz8VHe-rly5Cf5jS6/view?usp=share_link,https://drive.google.com/file/d/1538yOekz_Lvw6CUPFGk1WMbIFOewHpsD/view?usp=share_link,OK,,,,,,
129,,APROVEITAR.1,,,,"AGORA EU ESTOU DE FÉRIAS, VOU APROVEITAR VIAJAR",AGORA EU FÉRIAS APROVEITAR.1 EU VIAJAR,,,https://drive.google.com/file/d/1_MtNOd7YySg8u7aa5BFsdCNnbwdO1mrC/view?usp=share_link,https://drive.google.com/file/d/1nu5d3Kp_8RIDb6oYwoseq074Vw0cuvZ9/view?usp=share_link,OK,,,,,,
130,,APROVEITAR.2,,,,"ESTÁ ENSOLARADO, VOU APROVEITAR PASSEAR CAMINHANDO",SOL EU APROVEITAR.2 CAMINHAR PASSEAR,,,https://drive.google.com/file/d/1ygS9gEJ9wQGLZteOcp-ISL8YgooAY22m/view?usp=share_link,https://drive.google.com/file/d/1Pwyi9RKdFBv-DKJHu2WRh4jS_aIq1peO/view?usp=share_link,OK,,,,,,
131,,APROXIMAR,,,,ESTÁ SE APROXIMANDO O DIA DO PARTO DA MINHA MÃE,MINHA MÃE APROXIMAR NASCER ,,,https://drive.google.com/file/d/1Gz8rb19Vjr0XcJAykIpZdkaBtDvpay6u/view?usp=share_link,https://drive.google.com/file/d/1h0jvUESzepNB7zj4fu9jIe4Bz-WQNweQ/view?usp=share_link,OK,,,,,,
132,,AQUI,,,,"TERÁ FESTA EM BREVE, VAI SER AQUI ",VAI TER BREVE FESTA É AQUI,,,https://drive.google.com/file/d/1XS_2fsFMlkauGEiuPR8jmqivgBRCVvcU/view?usp=share_link,https://drive.google.com/file/d/1X5JiIi1cHPxCAEIhXXbj317zBGie1x7Q/view?usp=share_link,OK,OBS: ACHEI LIBRAS APORTUGUESADA,,,,,
133,,AR.1,,,,HOJE O AR ESTÁ QUENTE,HOJE DIA AR.1 QUENTE,,,https://drive.google.com/file/d/1737i6tMl6E-7rP6PzC2KnqHErbTrF17X/view?usp=share_link,https://drive.google.com/file/d/1EQ5zl2rQa6wlxeFAuBik4laSOzC7NDys/view?usp=share_link,OK,,,,,,
134,,AR.2,,,,"NO HOSPITAL, TEM PESSOAS ACAMADAS COM FALTA DE AR",HOSPITAL CL:PESSOAS_ACAMADAS FALTAR AR.2,,,https://drive.google.com/file/d/1TP2EFYx8N252tn2MVSI5Dtu_P-nvRqi7/view?usp=share_link,https://drive.google.com/file/d/1BxVHNTlIelz2ScfjGEQt2nVJgH0lL2Sw/view?usp=share_link,OK,,,,,,
135,,ARANHA,,,,ONTEM EU FUI NA CASA DA MINHA AVÓ E VI UMA ARANHA ENORME,ONTEM EU IR CASA AVÓ EU VI UM@ ARANHA CL:GRANDE,,,https://drive.google.com/file/d/1PFJfNz8N04t6fViGL1AmJ1_MThbS7rl1/view?usp=share_link,https://drive.google.com/file/d/1szn_i1guS7K6aCZD2p7o8_gJggTM1Zog/view?usp=share_link,OK,,,,,,
136,,ARANHA_PLURAL,,,,"ONTEM EU FUI NA CASA DA MINHA AVÓ, LÁ TEM MUITAS ARANHAS, QUE MEDO",ONTEM EU IR CASA AVÓ TER ARANHAS EU MEDO,,,GRAVAR?,https://drive.google.com/file/d/19WPnCf98U6M-pIcxaBXFU8XpkH7No1LG/view?usp=share_link,H,,,,,,
137,,AREIA,,,,EU COMPREI BASTANTE AREIA PARA CONSTRUIR MUROS AQUI EM CASA,EU COMPRAR CL:CHEIO AREIA CONSTRUIR MUROS AQUI CASA,,,https://drive.google.com/file/d/1R0w3Cz797qOr8aLGbCD_9xAq2QzmLoD4/view?usp=share_link,https://drive.google.com/file/d/1bLuBunGFF5_11KqWnd4cpPvKMvb6AKG6/view?usp=share_link,OK,,,,,,
138,,ARGENTINA,,,,"EU FUI NA ARGENTINA, COMI UMA CARNE, AMEI, É UMA DELÍCIA",EU IR ARGENTINA AMAR COMER CARNE DELÍCIA,,,https://drive.google.com/file/d/1KmluYdRWOKSR5RVo0ii5Ez6zMD07uJbD/view?usp=share_link,https://drive.google.com/file/d/1gkJc0XLQNKwD_KzoLtR9wl2AlyeV9hI-/view?usp=share_link,OK,,,,,,
139,,ARREPIAR,,,,"EU E MEU NAMORAD@ FOMOS AO CINEMA E ASSISTIMOS FILME TRISTE, É DE ARREPIAR",EU JUNTO NÓS NAMORAD@ IR CINEMA SENTAR ASSISTIR TRISTE ARREPIAR SENTIR,,,https://drive.google.com/file/d/1NGWp7U9_XKZ2SU-7tqHXqASnDC_-ryJr/view?usp=share_link,https://drive.google.com/file/d/1sJDStbFyRrlWZtdTOxTPQ6uquF50l9ev/view?usp=share_link,OK,,,,,,
140,,ARROZ,,,,"TODO DOMINGO EU E MINHA FAMÍLIA IR NA CASA DOS MEUS PAIS. O MEU PAI FAZ COMIDA ARROZ COM FRANGO, É UMA DELÍCIA",TOD@ DOMINGO MINHA FAMÍLIA IR CASA MEU PAI MÃE PAI COZINHAR ARROZ FRANGO DELÍCIA,,,https://drive.google.com/file/d/148myvZLqh6nRfIBTdmM9cEbQ__gMaVNK/view?usp=share_link,https://drive.google.com/file/d/1cTEqrqt2KQCqI4ZwDTfK-nNv5s_q7kbE/view?usp=share_link,OK,,,,,,
141,,ARRUMAR,,,,,,,,GRAVAR,GRAVAR,OK,,,,,,
142,,ARTE.1,,,,COMUNIDADE SURDA SEMPRE ACONTECE SLAM QUE É UMA ARTE PARA SURDOS,COMUNIDADE SURD@ SEMPRE TER SLAM ESS@ COMBINAR ARTE.1 SURD@,,,https://drive.google.com/file/d/1jyirgyfDc2fvhFxHmQGickvC8ocmhpz_/view?usp=share_link,https://drive.google.com/file/d/1e42A7IDUptoRFq0yYSgoPpGveULS37M-/view?usp=share_link,OK,,,,,,
143,,ARTE.2,,,,"EU ME INSCREVI DO CURSO DE ARTE, POIS AMO PINTAR NO QUADRO",EU INSCREVER CURSO ARTE.2 EU AMAR PINTURA,,,https://drive.google.com/file/d/1Ne47XamGF9hSrzp74LHFH4kLyqBGFD3B/view?usp=share_link,https://drive.google.com/file/d/1DxB5YZlOne9I_EbAu8c8N6JLLttR240T/view?usp=share_link,OK,,,,,,
144,,ASSIM,,,,MEU CACHORRO É ASSIM TEIMOSO,MEU CACHORRO EL@ TEIMOS@ ASSIM SEMPRE,,,https://drive.google.com/file/d/16tfpT_BA14BYLG6Xmf7Dgjme0byK-_jn/view?usp=share_link,https://drive.google.com/file/d/1TPo3Zv94MK3TgkDxvyeZf3jnb9xb_86k/view?usp=share_link,OK,,,,,,
145,,ASSINAR,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
146,,ASSISTIR.1,,,,HOJE EU ASSISTI UM FILME BOM,HOJE EU ASSISTIR.1 FILME BOM,,,https://drive.google.com/file/d/1vMhzPosliNxiaYphHQB9eSf2hd-jZTOb/view?usp=share_link,https://drive.google.com/file/d/1unDb6rhPZdX4ty2-G2euRCKGIW2LhItM/view?usp=share_link,OK,,,,,,
147,,ASSISTIR.2,,,,EU FUI NO ESTÁDIO ASSISTIR FUTEBOL COM O MEU PAI,EU IR ESTÁDIO EU ASSISTIR.2 FUTEBOL JUNTO MEU PAI,,,https://drive.google.com/file/d/1AIr9XvRM3CAeY8yu6jwTtdh_OQo2fvQu/view?usp=share_link,https://drive.google.com/file/d/1o70dVpssqiFkWhWd16fmcDJUtqCDyXYZ/view?usp=share_link,OK,,,,,,
148,,ASSISTIR.3,,,,EU APRENDI MUITAS COISAS DE UMA PALESTRA QUE EU ASSISTI,EU ASSISTIR.3 UM@ PALESTRA EU APRENDER MUIT@ COISA INFORMAÇÕES,,,https://drive.google.com/file/d/1v2z4AC8lVAXEh_aRSBomL1qImBa-nVUs/view?usp=share_link,https://drive.google.com/file/d/1YkRNugiSpvZxe2uVvKZ-mIpf_b-DG5C3/view?usp=share_link,OK,,,,,,
149,,ASSISTIR-TUDO,,,,"FUI NO CINEMA NA SEMANA PASSADA, ASSISTI TUDO DE UM FILME E CHOREI NO FINAL",SEMANA PASSAD@ EU IR CINEMA EU VI UM@ FILME ASSISTIR-TUDO FINAL EU CHORAR,,,https://drive.google.com/file/d/1x_9d6H0c0EsC2bJAqOlQb2c0WIfM3Zh1/view?usp=share_link,https://drive.google.com/file/d/1Ayz63D2YAD1I2_MTauuqv5yK_C7Fr_6Q/view?usp=share_link,OK,,,,,,
150,,ASSOCIAR,,,,OS GRUPOS DE INTERPRETES DE LIBRAS E PROFESSORES DE LIBRAS SÃO ASSOCIADOS DE LUTAS,GRUPO INTERPRETE LIBRAS GRUPO PROFESSOR@ LIBRAS ASSOCIAR LUTAR,,,https://drive.google.com/file/d/1HOHItWPLLU5EBPXGe-z_DVnsQ4lGX46x/view?usp=share_link,https://drive.google.com/file/d/17t50_Sa9OeUg-VnT7IY-AeRXDllffjyL/view?usp=share_link,OK,,,,,,
151,,ASSUNTO,,,,,MINHA MÃE IR HOSPITAL ASSUNTO VOMITAR PARAR NÃO,,,https://drive.google.com/file/d/1rV7bhZJkufalAOcQ7UZ0TDLaAUJkR2eF/view?usp=share_link,https://drive.google.com/file/d/1mGM3wUjYA82e8E6wYQvqE3ZLYWoNLzaH/view?usp=share_link,OK,,,,,,
152,,ASSUSTAR.1,,,,EU FUI NUMA LOJA E ME ASSUSTEI COM O PREÇO,EU IR LOJA OLHAR PREÇO ASSUSTAR.1 CARO,,,https://drive.google.com/file/d/1mBdjImZsZt7WSIhKE9ptEwMP4JmyAstJ/view?usp=share_link,https://drive.google.com/file/d/1sNU3D__7gl9BZuF0uBr3aQIyoTx_1EAU/view?usp=share_link,OK,,,,,,
153,,ASSUSTAR.2,,,,FIQUEI ASSUSTAD@ QUANDO VI UMA CASA PEGANDO FOGO,ASSUSTAR.2 CASA FOGO,,,https://drive.google.com/file/d/1VOqePIltwZBk4KfOT7DqMxgnild9AM6i/view?usp=share_link,https://drive.google.com/file/d/1lSEZ1ycatLPdFVxyCUF8zxNZ2nleUybq/view?usp=share_link,OK,,,,,,
154,,AS_VEZES.1,,,,AS VEZES EU VISITO NA CASA D@ AV@,AS_VEZES.1 EU VISITAR CASA AV@,,,https://drive.google.com/file/d/1SopxJxat6iEeOVbSvVpkyuhReNRvAgQZ/view?usp=share_link,https://drive.google.com/file/d/1zbg6kBLlx_9XwBS9Kc0OZs_l_ucNhEv9/view?usp=share_link,OK,,,,,,
155,,AS_VEZES.2,,,,AS VEZES VOU AO CLUBE NO FIM DE SEMANA,AS_VEZES.2 SÁBADO DOMINGO IR CLUBE,,,https://drive.google.com/file/d/14sdK10dfqwSaLdvRDsihj3zvxV-uFkfX/view?usp=share_link,https://drive.google.com/file/d/1b1n4cs2-TMMIwd__Yr0K9gQ36t54KIn_/view?usp=share_link,OK,,,,,,
156,,ATACAR,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
157,,ATÉ,,,,,,,,GRAVAR,GRAVAR,H I ,,,,,,
158,,ATENÇÃO.1,,,,VOCÊ PRECISA PRESTAR ATENÇÃO QUE O PROFESSOR VAI EXPLICAR,VOCÊ PRECISA ATENÇÃO.1 PROFESSOR@ VAI EXPLICAR,,,https://drive.google.com/file/d/1DVnbO2t5sBLLo331WxLs-n5g-f4gwPlo/view?usp=share_link,https://drive.google.com/file/d/1DBZHWrmpFFwUDoqcW1W1VGpEr8yNPQ3u/view?usp=share_link,OK,,,,,,
159,,ATENÇÃO.2,,,,"VOCÊ PRECISA PRESTAR ATENÇÃO NAQUELA AVENIDA, POIS TEM MUITO TRÂNSITO",OLHAR LÁ AVENIDA VOCÊ PRECISA ATENÇÃO.2 CARRO TRÂNSITO,,,https://drive.google.com/file/d/1DUfUxI-b_AQkYCQ95MeGSq4SFviYzJJC/view?usp=share_link,https://drive.google.com/file/d/1D5Icj_LymJAk1QnQ5Jz9RJgq9cbrs_Lp/view?usp=share_link,OK,,,,,,
160,,ATENÇÃO.3,,,,TENHO UM@ AMIG@ QUE ADORA CHAMAR ATENÇÃO,EU TER UM@ AMIG@ PESSOA ADORAR ATENÇÃO.3,,,https://drive.google.com/file/d/1DEL3dZp7jBST3pV6JXfI1PyrpqJJU7Ba/view?usp=share_link,https://drive.google.com/file/d/1D3NXYC69wvq4hF1j4eM6TZnen-th2otq/view?usp=share_link,OK,,,,,,
161,,ATIVIDADE.1,,,,"PROFESSOR@ ME DEU UMA ATIVIDADE, ACHEI DIFÍCIL",UM@ DISCIPLINA PROFESSOR@ DAR_ME ATIVIDADE.1 PESAD@,,,https://drive.google.com/file/d/1D2JgcR-24pI-xRiAbWyboCuvtsyVMG3P/view?usp=share_link,https://drive.google.com/file/d/1CuiZiX6nSieH4zlYLSEVdNkL72jI9Vq8/view?usp=share_link,OK,,,,,,
